# Data set for elements in the earth from wikipedia data table at
# https://en.wikipedia.org/wiki/Abundances_of_the_elements_(data_page)
# 
# W1 — CRC Handbook
# W2 — Kaye & Laby "less than" mean the number is below that limit of detection.
# Units are kg/L of element in water
#
#
number, symbol, name,          W1,           W2
82,     Pb,     lead,          3×10−11,      3×10−11,
83,     Bi,     bismuth,       2×10−11,      2×10−11,
84,     Po,     polonium,      1.5×10−20,    ,
85,     At,     astatine,      ,             ,
86,     Rn,     radon,         6×10−22,      ,
87,     Fr,     francium,      ,             ,
88,     Ra,     radium,        8.9×10−17,    ,
89,     Ac,     actinium,      ,             ,
90,     Th,     thorium,       1×10−12,      1.5×10−12,
91,     Pa,     protactinium,  5×10−17,      ,
92,     U,      uranium,       3.2×10−9,     3.3×10−9,
93,     Np,     neptunium,     ,             ,
94,     Pu,     plutonium,     ,             ,




























































































