Element,C1,C2,C3,C4,C5,C6,U1,U2
30 Zn zinc,7.0×10−5,8.2×10−5,7.6×10−5,8.0×10−5,7.6×10−5,,7.1×10−5,5.2×10−5
31 Ga gallium,1.9×10−5,1.7×10−5,1.9×10−5,1.8×10−5,1.86×10−5,,1.7×10−5,1.4×10−5
32 Ge germanium,1.5×10−6,1.3×10−6,1.5×10−6,1.6×10−6,1.32×10−6,,1.6×10−6,
33 As arsenic,1.8×10−6,2.0×10−6,1.8×10−6,1.0×10−6,2.03×10−6,,1.5×10−6,
34 Se selenium,5×10−8,5×10−8,5×10−8,5×10−8,1.53×10−7,,5×10−8,
35 Br bromine,2.4×10−6,4.0×10−6,2.5×10−6,,6.95×10−6,,,
36 Kr krypton,1×10−10,,,,,,,
37 Rb rubidium,9.0×10−5,7.0×10−5,7.8×10−5,3.2×10−5,7.90×10−5,6.1×10−5,1.12×10−4,1.10×10−4
38 Sr strontium,3.70×10−4,4.5×10−4,3.84×10−4,2.60×10−4,2.93×10−4,5.03×10−4,3.50×10−4,3.16×10−4
39 Y yttrium,3.3×10−5,3.5×10−7,3.1×10−5,2.0×10−5,,1.4×10−5,2.2×10−5,2.1×10−5
40 Zr zirconium,1.65×10−4,1.4×10−4,1.62×10−4,1.00×10−4,,2.10×10−4,1.90×10−4,2.40×10−4
41 Nb niobium,2.0×10−5,2.0×10−5,2.0×10−5,1.1000×10−5,,1.3000×10−5,2.5000×10−5,2.6000×10−5
42 Mo molybdenum,1.2×10−6,1.2×10−6,1.2×10−6,1.000×10−6,,,1.500×10−6,
43 Tc technetium,,,,,,,,
44 Ru ruthenium,1×10−9,,1×10−10,,,,,
45 Rh rhodium,1×10−9,,1×10−10,,,,,
46 Pd palladium,1.5×10−8,3×10−9,1.5×10−8,1.0×10−9,,,5×10−10,
47 Ag silver,7.5×10−8,8×10−8,8×10−8,8.0×10−8,6.95×10−8,,5.0×10−8,
48 Cd cadmium,1.5×10−7,1.8×10−7,1.6×10−7,9.8×10−8,1.00×10−7,,9.8×10−8,
49 In indium,2.5×10−7,2×10−7,2.4×10−7,5.0×10−8,6.95×10−8,,5.0×10−8,
50 Sn tin,2.3×10−6,1.5×10−6,2.1×10−6,2.500×10−6,,,5.500×10−6,
51 Sb antimony,2×10−7,2×10−7,2×10−7,2.00×10−7,2.03×10−7,,2.00×10−7,
52 Te tellurium,1×10−9,,1×10−9,,2.03×10−9,,,
53 I iodine,4.5×10−7,5×10−7,4.6×10−7,,1.540×10−6,,,
54 Xe xenon,3×10−11,,,,,,,
55 Cs caesium,3×10−6,1.6×10−6,2.6×10−6,1.000×10−6,1.310×10−6,,3.700×10−6,
56 Ba barium,4.25×10−4,3.8×10−4,3.90×10−4,2.50000×10−4,5.42000×10−4,7.07000×10−4,5.50000×10−4,1.070000×10−3
57 La lanthanum,3.9×10−5,5.0×10−5,3.5×10−5,1.6000×10−5,2.9000×10−5,2.8000×10−5,3.0000×10−5,3.200×10−6
58 Ce cerium,6.65×10−5,8.3×10−5,6.6×10−5,3.3000×10−5,5.4200×10−5,5.7000×10−5,6.4000×10−5,6.5000×10−5
59 Pr praseodymium,9.2×10−6,1.3×10−5,9.1×10−6,3.900×10−6,,,7.100×10−6,
60 Nd neodymium,4.15×10−5,4.4×10−5,4.0×10−5,1.6000×10−5,2.5400×10−5,2.3000×10−5,2.6000×10−5,2.6000×10−5
61 Pm promethium,,,,,,,,
62 Sm samarium,7.05×10−6,7.7×10−6,7.0×10−6,3.500×10−6,5.590×10−6,4.100×10−6,4.500×10−6,4.500×10−6
63 Eu europium,2.0×10−6,2.2×10−6,2.1×10−6,1.100×10−6,1.407×10−6,1.090×10−6,8.80×10−7,9.40×10−7
64 Gd gadolinium,6.2×10−6,6.3×10−6,6.1×10−6,3.300×10−6,8.140×10−6,,3.800×10−6,2.800×10−6
65 Tb terbium,1.2×10−6,1.0×10−6,1.2×10−6,6.00×10−7,1.020×10−6,5.30×10−7,6.40×10−7,4.80×10−7
66 Dy dysprosium,5.2×10−6,8.5×10−6,,3.700×10−6,6.102×10−6,,3.500×10−6,
67 Ho holmium,1.3×10−6,1.6×10−6,1.3×10−6,7.80×10−7,1.860×10−6,,8.00×10−7,6.20×10−7
68 Er erbium,3.5×10−6,3.6×10−6,3.5×10−6,2.200×10−6,3.390×10−6,,2.300×10−6,
69 Tm thulium,5.2×10−7,5.2×10−7,5×10−7,3.20×10−7,,2.40×10−7,3.30×10−7,
70 Yb ytterbium,3.2×10−6,3.4×10−6,3.1×10−6,2.200×10−6,3.390×10−6,1.530×10−6,2.200×10−6,1.500×10−6
71 Lu lutetium,8×10−7,8×10−7,,3.00×10−7,5.76×10−7,2.30×10−7,3.20×10−7,2.30×10−7
72 Hf hafnium,3.0×10−6,4×10−6,2.8×10−6,3.000×10−6,3.460×10−6,4.700×10−6,5.800×10−6,5.800×10−6
73 Ta tantalum,2.0×10−6,2.4×10−6,1.7×10−6,1.000×10−6,2.203×10−6,,2.200×10−6,
74 W tungsten,1.25×10−6,1.0×10−6,1.2×10−6,1.000×10−6,1.310×10−6,,2.000×10−6,
75 Re rhenium,7×10−10,4×10−10,7×10−10,5×10−10,1.02×10−9,,5×10−10,
76 Os osmium,1.5×10−9,2×10−10,5×10−9,,1.02×10−9,,,
77 Ir iridium,1×10−9,2×10−10,1×10−9,1×10−10,1.02×10−9,,2×10−11,
78 Pt platinum,5×10−9,,1×10−8,,,,,
79 Au gold,4×10−9,2×10−9,4×10−9,3.0×10−9,4.07×10−9,,1.8×10−9,
80 Hg mercury,8.5×10−8,2×10−8,8×10−8,,,,,
81 Tl thallium,8.5×10−7,4.7×10−7,7×10−7,3.60×10−7,,,7.50×10−7,5.20×10−7
82 Pb lead,1.4×10−5,1.0×10−5,1.3×10−5,8.000×10−6,,1.5000×10−5,2.0000×10−5,1.7000×10−5
83 Bi bismuth,8.5×10−9,4×10−9,8×10−9,6.0×10−8,,,1.27×10−7,
84 Po polonium,2×10−16,,,,,,,
85 At astatine,,,,,,,,
86 Rn radon,4×10−19,,,,,,,
87 Fr francium,,,,,,,,
88 Ra radium,9×10−13,,,,,,,
89 Ac actinium,5.5×10−16,,,,,,,
90 Th thorium,9.6×10−6,5.8×10−6,8.1×10−6,3.500×10−6,,5.700×10−6,1.0700×10−5,1.0000×10−5
91 Pa protactinium,1.4×10−12,,,,,,,
92 U uranium,2.7×10−6,1.6×10−6,2.3×10−6,9.10×10−7,1.200×10−6,1.300×10−6,2.800×10−6,2.500×10−6
93 Np neptunium,,,,,,,,
94 Pu plutonium,,,,,,,,
