# "Abundance of chemical elements in Earth's (continental) crust, by mass "
# https://en.wikipedia.org/wiki/Abundance_of_elements_in_Earth%27s_crust
#
number,      name,        sym­bol,     "Goldschmidt class",    "Abundance (ppm)"],          "Extraction (tonnes/yr)",          
80,          mercury,         Hg,         Chalcophile,          0.085 (8.5×10−6%),          "4,          500",          
47,          silver,          Ag,         Chalcophile,          0.075 (7.5×10−6%),          "27,          000",          
34,          selenium,        Se,         Chalcophile,          0.05 (5×10−6%),          "2,          200",          
46,          palladium,       Pd,         Siderophile,          0.015 (1.5×10−6%),          208,          
83,          bismuth,         Bi,         Chalcophile,          0.0085 (8.5×10−7%),          "10,          200",          
2,           helium,          He,         Atmophile,          0.008 (8×10−7%),          ,          
10,          neon,            Ne,         Atmophile,          0.005 (5×10−7%),          ,          
78,          platinum,        Pt,         Siderophile,          0.005 (5×10−7%),          172,          
79,          gold,            Au,         Siderophile,          0.004 (4×10−7%),          "3,          100",          
76,          osmium,          Os,         Siderophile,          0.0015 (1.5×10−7%),          ,          
52,          tellurium,       Te,         Chalcophile,          0.001 (1×10−7%),          "2,          200",          
44,          ruthenium,       Ru,         Siderophile,          0.001 (1×10−7%),          30,          
77,          iridium,         Ir,         Siderophile,          0.001 (1×10−7%),          7.3,          
45,          rhodium,         Rh,         Siderophile,          0.001 (1×10−7%),          30,          
75,          rhenium,         Re,         Siderophile,          0.0007 (7×10−8%),          47.2,          
36,          krypton,         Kr,         Atmophile,          0.0001 (1×10−8%),          ,          
54,          xenon,           Xe,         Atmophile,          3×10−5 (3×10−9%),          ,          
91,          protactinium,    Pa,         trace,          1.4×10−6 (1.4×10−10%),          ,          
88,          radium,          Ra,         trace,          9×10−7 (9×10−11%),          ,          
89,          actinium,        Ac,         trace,          5.5×10−10 (6×10−14%),          ,          
84,          polonium,        Po,         trace,          2×10−10 (2×10−14%),          ,          
86,          radon,           Rn,         trace,          4×10−13 (4×10−17%),          ,          
43,          technetium,      Tc,         trace,          3×10−15 (3×10−19%),          ,          
61,          promethium,      Pm,         trace,          2×10−23 (2×10−25%)|,          ,          
87,          francium,        Fr,         trace,          1×10−24 (1×10−26%)|,          ,          
85,          astatine,        At,         trace,          3×10−27 (3×10−29%)|,          ,          
94,          plutonium,       Pu,         trace,          ,          ,          
93,          neptunium,       Np,         trace,          ,          ,          
